ocid,tender_id,lot,buyer_id,title,category_code,category_label,procurement_kind,procurement_method,publish_date,tender_period_days,estimate_value,quantity,unit,scope_metric_value,scope_metric_unit,n_bids_published,bids_published,status,award_id,awarded_vendor_id,awarded_value,award_date,emergency_declared,proprietary_certificate,framework_ref,reserved_for_mse,justification_note,scenario_truth
ocds-pgraph-T-0227,T-0227,1,B-012,Biomedical equipment servicing - Amravati (May 2024),biomedical_service,Biomedical equipment servicing,services,open,2024-05-25,14,4122111.27,2,year,2,year,0,0,complete,A-0227,V-0156,3344765.01,2024-07-10,0,0,,0,,competitive
ocds-pgraph-T-0228,T-0228,1,B-012,Generic drug supply - Amravati (Sep 2022),drugs_generic,Generic drug supply,goods,open,2022-09-28,14,22135614.78,816776,strip,816776,strip,3,1,complete,A-0228,V-0050,18083445.79,2022-11-05,0,0,,0,,competitive
ocds-pgraph-T-0229,T-0229,1,B-029,Water supply pipeline works - Sambalpur (Jul 2025),water_pipeline,Water supply pipeline works,works,open,2025-07-01,14,1970502.4,758,metre,758,metre,5,1,complete,A-0229,V-0072,1697374.46,2025-08-02,0,0,,0,,competitive
ocds-pgraph-T-0230,T-0230,1,B-029,Borewell drilling - Sambalpur (Nov 2023),borewell_drilling,Borewell drilling,works,open,2023-11-19,10,3024161.92,2034,metre,2034,metre,5,1,complete,A-0230,V-0152,2752162.46,2023-12-31,0,0,,0,,competitive
ocds-pgraph-T-0231,T-0231,1,B-029,Water supply pipeline works - Sambalpur (Dec 2025),water_pipeline,Water supply pipeline works,works,open,2025-12-29,14,12913600.24,5040,metre,5040,metre,4,1,complete,A-0231,V-0078,10512202.87,2026-02-16,0,0,,0,,competitive
ocds-pgraph-T-0232,T-0232,1,B-029,Borewell drilling - Sambalpur (May 2025),borewell_drilling,Borewell drilling,works,open,2025-05-18,30,2389159.46,1450,metre,1450,metre,4,1,complete,A-0232,V-0152,2031352.88,2025-07-20,0,0,,0,,competitive
ocds-pgraph-T-0233,T-0233,1,B-029,Borewell drilling - Sambalpur (Nov 2025),borewell_drilling,Borewell drilling,works,open,2025-11-30,21,,2171,metre,2171,metre,5,1,complete,A-0233,V-0152,2799868.4,2026-02-02,0,0,,0,,competitive
ocds-pgraph-T-0234,T-0234,1,B-029,Water supply pipeline works - Sambalpur (Jan 2024),water_pipeline,Water supply pipeline works,works,open,2024-01-01,10,2744587.45,1196,metre,1196,metre,5,1,complete,A-0234,V-0168,2122110.59,2024-01-29,0,0,,0,,competitive
ocds-pgraph-T-0235,T-0235,1,B-029,Water supply pipeline works - Sambalpur (Mar 2023),water_pipeline,Water supply pipeline works,works,open,2023-03-22,30,10689612.49,4793,metre,4793,metre,5,1,complete,A-0235,V-0078,8798604.95,2023-05-10,0,0,,0,,competitive
ocds-pgraph-T-0236,T-0236,1,B-029,Water supply pipeline works - Sambalpur (May 2025),water_pipeline,Water supply pipeline works,works,open,2025-05-28,7,,606,metre,606,metre,1,1,complete,A-0236,V-0229,1255300.8,2025-07-02,0,0,,0,,competitive
ocds-pgraph-T-0237,T-0237,1,B-029,Water supply pipeline works - Sambalpur (Apr 2023),water_pipeline,Water supply pipeline works,works,open,2023-04-05,14,,2593,metre,2593,metre,2,1,complete,A-0237,V-0078,4694993.05,2023-06-01,0,0,,0,,competitive
ocds-pgraph-T-0238,T-0238,1,B-029,Borewell drilling - Sambalpur (Dec 2023),borewell_drilling,Borewell drilling,works,open,2023-12-08,30,1332656.66,958,metre,958,metre,3,1,complete,A-0238,V-0113,1219269.09,2024-02-13,0,0,,0,,competitive
ocds-pgraph-T-0239,T-0239,1,B-029,Borewell drilling - Sambalpur (Dec 2024),borewell_drilling,Borewell drilling,works,open,2024-12-03,21,2832844.5,1716,metre,1716,metre,1,1,complete,A-0239,V-0120,2999856.89,2025-01-07,0,0,,0,,single
ocds-pgraph-T-0240,T-0240,1,B-029,Water supply pipeline works - Sambalpur (Feb 2023),water_pipeline,Water supply pipeline works,works,open,2023-02-18,14,4485562.87,1815,metre,1815,metre,5,1,complete,A-0240,V-0168,3633808.72,2023-03-23,0,0,,0,,competitive
ocds-pgraph-T-0241,T-0241,1,B-029,Borewell drilling - Sambalpur (Jul 2023),borewell_drilling,Borewell drilling,works,open,2023-07-27,30,1549388.75,1055,metre,1055,metre,4,1,complete,A-0241,V-0113,1337546.76,2023-10-07,0,0,,0,,competitive
ocds-pgraph-T-0242,T-0242,1,B-029,Borewell drilling - Sambalpur (Sep 2023),borewell_drilling,Borewell drilling,works,open,2023-09-01,14,3191376.86,1979,metre,1979,metre,4,1,complete,A-0242,V-0120,2885488.51,2023-10-18,0,0,,0,,competitive
ocds-pgraph-T-0243,T-0243,1,B-029,Water supply pipeline works - Sambalpur (May 2026),water_pipeline,Water supply pipeline works,works,open,2026-05-03,30,7494271.77,3100,metre,3100,metre,2,1,complete,A-0243,V-0072,7109794.19,2026-06-29,0,0,,0,,competitive
ocds-pgraph-T-0244,T-0244,1,B-029,Water supply pipeline works - Sambalpur (Dec 2025),water_pipeline,Water supply pipeline works,works,open,2025-12-13,14,14510873.4,5492,metre,5492,metre,5,1,complete,A-0244,V-0168,11994063.94,2026-02-04,0,0,,0,,competitive
ocds-pgraph-T-0245,T-0245,1,B-029,Borewell drilling - Sambalpur (Feb 2024),borewell_drilling,Borewell drilling,works,open,2024-02-25,14,3862986.74,2413,metre,2413,metre,2,1,complete,A-0245,V-0152,3687116.31,2024-04-05,0,0,,0,,competitive
ocds-pgraph-T-0246,T-0246,1,B-029,Water supply pipeline works - Sambalpur (Jul 2025),water_pipeline,Water supply pipeline works,works,open,2025-07-09,10,5431691.01,2304,metre,2304,metre,4,1,complete,A-0246,V-0168,4776900.29,2025-08-24,0,0,,0,,competitive
ocds-pgraph-T-0247,T-0247,1,B-029,Borewell drilling - Sambalpur (Apr 2025),borewell_drilling,Borewell drilling,works,open,2025-04-20,14,3228336.21,2005,metre,2005,metre,4,1,complete,A-0247,V-0058,2840430.91,2025-06-05,0,0,,0,,competitive
ocds-pgraph-T-0248,T-0248,1,B-029,Water supply pipeline works - Sambalpur (Jul 2024),water_pipeline,Water supply pipeline works,works,open,2024-07-09,21,2370126.57,1089,metre,1089,metre,2,1,complete,A-0248,V-0168,2022229.15,2024-08-26,0,0,,0,,competitive
ocds-pgraph-T-0249,T-0249,1,B-029,Water supply pipeline works - Sambalpur (Jan 2025),water_pipeline,Water supply pipeline works,works,open,2025-01-31,14,10771416.47,3951,metre,3951,metre,1,1,complete,A-0249,V-0078,8785030.29,2025-03-23,0,0,,0,,competitive
ocds-pgraph-T-0250,T-0250,1,B-029,Water supply pipeline works - Sambalpur (May 2026),water_pipeline,Water supply pipeline works,works,open,2026-05-17,14,888180.17,346,metre,346,metre,1,1,complete,A-0250,V-0168,712286.13,2026-06-17,0,0,,0,,competitive
ocds-pgraph-T-0251,T-0251,1,B-029,Water supply pipeline works - Sambalpur (May 2023),water_pipeline,Water supply pipeline works,works,open,2023-05-12,21,12614745.73,5991,metre,5991,metre,6,1,complete,A-0251,V-0189,11037610.94,2023-07-15,0,0,,0,,competitive
ocds-pgraph-T-0252,T-0252,1,B-013,Solar street lighting - Nashik (Nov 2024),solar_streetlight,Solar street lighting,goods,open,2024-11-16,21,,729,unit,729,unit,5,1,complete,A-0252,V-0228,9940279.11,2025-01-10,0,0,,0,,competitive
ocds-pgraph-T-0253,T-0253,1,B-013,Solar street lighting - Nashik (Jul 2026),solar_streetlight,Solar street lighting,goods,open,2026-07-03,21,10108170.85,563,unit,563,unit,6,1,complete,A-0253,V-0228,8788965.37,2026-08-13,0,0,,0,,competitive
ocds-pgraph-T-0254,T-0254,1,B-013,Solar street lighting - Nashik (Nov 2025),solar_streetlight,Solar street lighting,goods,open,2025-11-14,7,5161683.36,296,unit,296,unit,2,1,complete,A-0254,V-0188,4361716.05,2025-12-17,0,0,,0,,competitive
ocds-pgraph-T-0255,T-0255,1,B-013,Sanitation and waste services - Nashik (Nov 2023),sanitation_services,Sanitation and waste services,services,open,2023-11-13,10,4498907.21,25,month,25,month,6,1,complete,A-0255,V-0144,3958655.74,2023-12-08,0,0,,0,,competitive
ocds-pgraph-T-0256,T-0256,1,B-013,Sanitation and waste services - Nashik (Sep 2022),sanitation_services,Sanitation and waste services,services,open,2022-09-11,7,2714699.7,16,month,16,month,1,1,complete,A-0256,V-0211,2770885.54,2022-10-27,0,0,,0,,single
ocds-pgraph-T-0257,T-0257,1,B-013,Sanitation and waste services - Nashik (Sep 2022),sanitation_services,Sanitation and waste services,services,open,2022-09-05,10,4516277.07,27,month,27,month,5,1,complete,A-0257,V-0208,4626667.76,2022-10-06,0,0,,0,,competitive
ocds-pgraph-T-0258,T-0258,1,B-013,Road resurfacing works - Nashik (May 2026),road_resurfacing,Road resurfacing works,works,open,2026-05-08,10,5166816.93,21519,sq.m,21519,sq.m,6,1,complete,A-0258,V-0210,4335293.95,2026-06-08,0,0,,0,,competitive
ocds-pgraph-T-0259,T-0259,1,B-013,Solar street lighting - Nashik (Oct 2023),solar_streetlight,Solar street lighting,goods,open,2023-10-07,7,9959565.06,608,unit,608,unit,3,1,complete,A-0259,V-0084,8280461.75,2023-10-29,0,0,,0,,competitive
ocds-pgraph-T-0260,T-0260,1,B-013,Solar street lighting - Nashik (Apr 2024),solar_streetlight,Solar street lighting,goods,open,2024-04-09,10,10555314.58,673,unit,673,unit,1,1,complete,A-0260,V-0188,11606889.44,2024-05-22,0,0,,0,,competitive
ocds-pgraph-T-0261,T-0261,1,B-013,Sanitation and waste services - Nashik (Jul 2025),sanitation_services,Sanitation and waste services,services,open,2025-07-29,7,4203341.89,19,month,19,month,3,1,complete,A-0261,V-0144,3661891.59,2025-08-23,0,0,,0,,competitive
ocds-pgraph-T-0262,T-0262,1,B-013,Solar street lighting - Nashik (Jan 2025),solar_streetlight,Solar street lighting,goods,open,2025-01-31,14,7078263.93,399,unit,399,unit,7,1,complete,A-0262,V-0219,6382279.31,2025-03-17,0,0,,0,,competitive
ocds-pgraph-T-0263,T-0263,1,B-013,Solar street lighting - Nashik (Apr 2025),solar_streetlight,Solar street lighting,goods,open,2025-04-01,14,14141683.93,795,unit,795,unit,2,1,complete,A-0263,V-0228,11462806.74,2025-05-25,0,0,,0,,competitive
ocds-pgraph-T-0264,T-0264,1,B-013,Road resurfacing works - Nashik (Nov 2025),road_resurfacing,Road resurfacing works,works,open,2025-11-24,21,3794366.13,14030,sq.m,14030,sq.m,2,1,complete,A-0264,V-0156,2998491.53,2026-01-16,0,0,,0,,competitive
ocds-pgraph-T-0265,T-0265,1,B-013,Road resurfacing works - Nashik (Nov 2025),road_resurfacing,Road resurfacing works,works,open,2025-11-04,14,8965648.33,35918,sq.m,35918,sq.m,5,1,complete,A-0265,V-0210,8044525.02,2025-12-24,0,0,,0,,competitive
ocds-pgraph-T-0266,T-0266,1,B-013,Solar street lighting - Nashik (Nov 2024),solar_streetlight,Solar street lighting,goods,open,2024-11-12,14,,103,unit,103,unit,2,1,complete,A-0266,V-0228,1512962.38,2024-12-11,0,0,,0,,competitive
ocds-pgraph-T-0267,T-0267,1,B-013,Road resurfacing works - Nashik (May 2026),road_resurfacing,Road resurfacing works,works,open,2026-05-12,7,3400998.74,12917,sq.m,12917,sq.m,3,1,complete,A-0267,V-0021,3044804.59,2026-06-14,0,0,,0,,competitive
ocds-pgraph-T-0268,T-0268,1,B-013,Sanitation and waste services - Nashik (Feb 2024),sanitation_services,Sanitation and waste services,services,open,2024-02-13,7,1917980.9,10,month,10,month,4,1,complete,A-0268,V-0170,1574825.7,2024-03-26,0,0,,0,,competitive
ocds-pgraph-T-0269,T-0269,1,B-013,Road resurfacing works - Nashik (Nov 2025),road_resurfacing,Road resurfacing works,works,open,2025-11-01,21,8372933.16,32936,sq.m,32936,sq.m,6,1,complete,A-0269,V-0197,6930473.71,2025-12-17,0,0,,0,,competitive
ocds-pgraph-T-0270,T-0270,1,B-013,Sanitation and waste services - Nashik (Sep 2025),sanitation_services,Sanitation and waste services,services,open,2025-09-05,30,2250012.57,11,month,11,month,3,1,complete,A-0270,V-0211,2154167.95,2025-10-21,0,0,,0,,competitive
ocds-pgraph-T-0271,T-0271,1,B-013,Sanitation and waste services - Nashik (Apr 2026),sanitation_services,Sanitation and waste services,services,open,2026-04-07,14,6026456.16,32,month,32,month,4,1,complete,A-0271,V-0111,5357188.1,2026-06-03,0,0,,0,,competitive
ocds-pgraph-T-0272,T-0272,1,B-013,Road resurfacing works - Nashik (Oct 2025),road_resurfacing,Road resurfacing works,works,open,2025-10-28,30,13719890.15,53630,sq.m,53630,sq.m,5,1,complete,A-0272,V-0021,11360141.72,2026-01-01,0,0,,0,,competitive
ocds-pgraph-T-0273,T-0273,1,B-013,Solar street lighting - Nashik (Dec 2024),solar_streetlight,Solar street lighting,goods,open,2024-12-30,21,4035440.17,265,unit,265,unit,0,0,complete,A-0273,V-0188,4058279.38,2025-02-22,0,0,,0,,competitive
ocds-pgraph-T-0274,T-0274,1,B-013,Sanitation and waste services - Nashik (Jun 2026),sanitation_services,Sanitation and waste services,services,open,2026-06-16,21,3612195.57,18,month,18,month,5,1,complete,A-0274,V-0211,3066581.78,2026-08-19,0,0,,0,,competitive
ocds-pgraph-T-0275,T-0275,1,B-013,Solar street lighting - Nashik (Aug 2023),solar_streetlight,Solar street lighting,goods,open,2023-08-30,7,14179551.59,882,unit,882,unit,0,0,complete,A-0275,V-0015,11389920.34,2023-09-19,0,0,,0,,competitive
ocds-pgraph-T-0276,T-0276,1,B-013,Sanitation and waste services - Nashik (Sep 2025),sanitation_services,Sanitation and waste services,services,open,2025-09-25,14,2923106.34,15,month,15,month,4,1,complete,A-0276,V-0211,2588396.48,2025-10-30,0,0,,0,,competitive
ocds-pgraph-T-0277,T-0277,1,B-013,Solar street lighting - Nashik (Dec 2024),solar_streetlight,Solar street lighting,goods,open,2024-12-23,30,3487727.05,206,unit,206,unit,4,1,complete,A-0277,V-0188,3255304.53,2025-02-02,0,0,,0,,competitive
ocds-pgraph-T-0278,T-0278,1,B-007,Borewell drilling - Tumakuru (May 2024),borewell_drilling,Borewell drilling,works,open,2024-05-31,21,4272811.05,2423,metre,2423,metre,4,1,complete,A-0278,V-0238,3663009.45,2024-07-26,0,0,,0,,competitive
ocds-pgraph-T-0279,T-0279,1,B-007,Road resurfacing works - Tumakuru (Sep 2024),road_resurfacing,Road resurfacing works,works,open,2024-09-21,7,10938904.68,49427,sq.m,49427,sq.m,6,1,complete,A-0279,V-0096,9861543.95,2024-10-17,0,0,,0,,competitive
ocds-pgraph-T-0280,T-0280,1,B-007,Road resurfacing works - Tumakuru (Nov 2025),road_resurfacing,Road resurfacing works,works,open,2025-11-15,21,7145619.62,28350,sq.m,28350,sq.m,0,0,complete,A-0280,V-0218,5888095.63,2025-12-24,0,0,,0,,competitive
ocds-pgraph-T-0281,T-0281,1,B-007,Solar street lighting - Tumakuru (Nov 2024),solar_streetlight,Solar street lighting,goods,open,2024-11-24,7,11871135.03,805,unit,805,unit,1,1,complete,A-0281,V-0123,12143523.44,2024-12-11,0,0,,0,,competitive
ocds-pgraph-T-0282,T-0282,1,B-007,Road resurfacing works - Tumakuru (Oct 2022),road_resurfacing,Road resurfacing works,works,open,2022-10-07,21,8247553.88,41166,sq.m,41166,sq.m,4,1,complete,A-0282,V-Y008,6795399.31,2022-11-08,0,0,,0,,competitive
ocds-pgraph-T-0283,T-0283,1,B-007,Road resurfacing works - Tumakuru (Jun 2024),road_resurfacing,Road resurfacing works,works,open,2024-06-16,7,10210943.77,45720,sq.m,45720,sq.m,7,1,complete,A-0283,V-0209,8976891.22,2024-08-04,0,0,,0,,competitive
ocds-pgraph-T-0284,T-0284,1,B-007,Solar street lighting - Tumakuru (Jul 2023),solar_streetlight,Solar street lighting,goods,open,2023-07-09,14,1443432.84,96,unit,96,unit,3,1,complete,A-0284,V-0093,1286480.04,2023-09-03,0,0,,0,,competitive
ocds-pgraph-T-0285,T-0285,1,B-007,Solar street lighting - Tumakuru (Dec 2022),solar_streetlight,Solar street lighting,goods,open,2022-12-31,7,2881740.19,201,unit,201,unit,2,1,complete,A-0285,V-0093,2503590.0,2023-01-17,0,0,,0,,competitive
ocds-pgraph-T-0286,T-0286,1,B-007,Solar street lighting - Tumakuru (Feb 2024),solar_streetlight,Solar street lighting,goods,open,2024-02-11,14,5608730.39,394,unit,394,unit,2,1,complete,A-0286,V-Y006,4900701.17,2024-04-03,0,0,,0,,competitive
ocds-pgraph-T-0287,T-0287,1,B-007,Borewell drilling - Tumakuru (Nov 2024),borewell_drilling,Borewell drilling,works,open,2024-11-28,21,2179889.33,1238,metre,1238,metre,6,1,complete,A-0287,V-0090,1830917.62,2025-01-04,0,0,,0,,competitive
ocds-pgraph-T-0288,T-0288,1,B-007,Road resurfacing works - Tumakuru (Nov 2025),road_resurfacing,Road resurfacing works,works,open,2025-11-15,14,9445124.85,36839,sq.m,36839,sq.m,3,1,complete,A-0288,V-0096,8201567.27,2025-12-30,0,0,,0,,competitive
ocds-pgraph-T-0289,T-0289,1,B-007,Borewell drilling - Tumakuru (Jul 2026),borewell_drilling,Borewell drilling,works,open,2026-07-15,14,2017060.93,1033,metre,1033,metre,4,1,complete,A-0289,V-0069,1828676.14,2026-08-19,0,0,,0,,competitive
ocds-pgraph-T-0290,T-0290,1,B-007,Road resurfacing works - Tumakuru (Sep 2023),road_resurfacing,Road resurfacing works,works,open,2023-09-15,10,11759496.3,56010,sq.m,56010,sq.m,3,1,complete,A-0290,V-0131,9299011.47,2023-10-11,0,0,,0,,competitive
ocds-pgraph-T-0291,T-0291,1,B-007,Solar street lighting - Tumakuru (Jun 2025),solar_streetlight,Solar street lighting,goods,open,2025-06-16,14,6302572.31,397,unit,397,unit,4,1,complete,A-0291,V-0155,6372264.89,2025-08-14,0,0,,0,,competitive
ocds-pgraph-T-0292,T-0292,1,B-007,Road resurfacing works - Tumakuru (Nov 2025),road_resurfacing,Road resurfacing works,works,open,2025-11-25,21,6194551.16,28009,sq.m,28009,sq.m,2,1,complete,A-0292,V-Y008,5655459.1,2026-01-15,0,0,,0,,competitive
ocds-pgraph-T-0293,T-0293,1,B-007,Road resurfacing works - Tumakuru (Jun 2026),road_resurfacing,Road resurfacing works,works,open,2026-06-03,7,6392378.77,25705,sq.m,25705,sq.m,3,1,complete,A-0293,V-Y008,5398509.37,2026-07-10,0,0,,0,,competitive
ocds-pgraph-T-0294,T-0294,1,B-007,Solar street lighting - Tumakuru (Jan 2026),solar_streetlight,Solar street lighting,goods,open,2026-01-31,10,11135690.94,661,unit,661,unit,3,1,complete,A-0294,V-0155,11107942.71,2026-03-14,0,0,,0,,competitive
ocds-pgraph-T-0295,T-0295,1,B-007,Borewell drilling - Tumakuru (Feb 2025),borewell_drilling,Borewell drilling,works,open,2025-02-26,7,1538825.4,840,metre,840,metre,1,1,complete,A-0295,V-0069,1455956.27,2025-03-16,0,0,,0,,competitive
ocds-pgraph-T-0296,T-0296,1,B-007,Borewell drilling - Tumakuru (Jun 2025),borewell_drilling,Borewell drilling,works,open,2025-06-14,30,672373.69,331,metre,331,metre,5,1,complete,A-0296,V-0169,582269.71,2025-08-26,0,0,,0,,competitive
ocds-pgraph-T-0297,T-0297,1,B-007,Solar street lighting - Tumakuru (Dec 2023),solar_streetlight,Solar street lighting,goods,open,2023-12-12,30,7369154.75,455,unit,455,unit,4,1,complete,A-0297,V-0218,5808489.83,2024-02-11,0,0,,0,,competitive
ocds-pgraph-T-0298,T-0298,1,B-007,Solar street lighting - Tumakuru (Feb 2026),solar_streetlight,Solar street lighting,goods,open,2026-02-06,7,4028657.07,242,unit,242,unit,6,1,complete,A-0298,V-0061,3672362.54,2026-03-11,0,0,,0,,competitive
ocds-pgraph-T-0299,T-0299,1,B-007,Solar street lighting - Tumakuru (May 2026),solar_streetlight,Solar street lighting,goods,open,2026-05-26,14,5902467.8,320,unit,320,unit,3,1,complete,A-0299,V-Y006,5080535.21,2026-07-21,0,0,,0,,competitive
ocds-pgraph-T-0300,T-0300,1,B-007,Road resurfacing works - Tumakuru (Feb 2026),road_resurfacing,Road resurfacing works,works,open,2026-02-01,7,7622765.51,33733,sq.m,33733,sq.m,1,1,complete,A-0300,V-S001,8315519.44,2026-02-23,0,0,,0,,competitive
ocds-pgraph-T-0301,T-0301,1,B-007,Solar street lighting - Tumakuru (Nov 2025),solar_streetlight,Solar street lighting,goods,open,2025-11-01,30,2047157.25,121,unit,121,unit,0,0,complete,A-0301,V-0061,1741691.34,2026-01-05,0,0,,0,,competitive
ocds-pgraph-T-0302,T-0302,1,B-007,Road resurfacing works - Tumakuru (Jan 2023),road_resurfacing,Road resurfacing works,works,open,2023-01-16,14,4558406.83,22252,sq.m,22252,sq.m,7,1,complete,A-0302,V-0153,3550226.92,2023-03-05,0,0,,0,,competitive
ocds-pgraph-T-0303,T-0303,1,B-007,Road resurfacing works - Tumakuru (Mar 2026),road_resurfacing,Road resurfacing works,works,open,2026-03-13,30,12186910.42,50805,sq.m,50805,sq.m,4,1,complete,A-0303,V-0155,12284674.68,2026-05-24,0,0,,0,,competitive
ocds-pgraph-T-0304,T-0304,1,B-007,Borewell drilling - Tumakuru (Aug 2024),borewell_drilling,Borewell drilling,works,open,2024-08-31,7,,712,metre,712,metre,4,1,complete,A-0304,V-0238,1096242.82,2024-09-26,0,0,,0,,competitive
ocds-pgraph-T-0305,T-0305,1,B-007,Solar street lighting - Tumakuru (Feb 2023),solar_streetlight,Solar street lighting,goods,open,2023-02-27,7,4773669.89,323,unit,323,unit,3,1,complete,A-0305,V-0093,4490741.71,2023-03-27,0,0,,0,,competitive
ocds-pgraph-T-0306,T-0306,1,B-007,Borewell drilling - Tumakuru (May 2024),borewell_drilling,Borewell drilling,works,open,2024-05-26,14,4476011.16,2456,metre,2456,metre,6,1,complete,A-0306,V-0231,3653150.42,2024-07-02,0,0,,0,,competitive
ocds-pgraph-T-0307,T-0307,1,B-007,Solar street lighting - Tumakuru (Jul 2023),solar_streetlight,Solar street lighting,goods,open,2023-07-31,7,10803287.05,698,unit,698,unit,5,1,complete,A-0307,V-Y006,9562410.02,2023-09-08,0,0,,0,,competitive
ocds-pgraph-T-0308,T-0308,1,B-038,Ambulance procurement - Guwahati (Jan 2026),ambulance_vehicle,Ambulance procurement,goods,open,2026-01-09,7,,5,unit,5,unit,6,1,complete,A-0308,V-0200,10466737.28,2026-02-18,0,0,,0,,competitive
ocds-pgraph-T-0309,T-0309,1,B-038,Generic drug supply - Guwahati (Dec 2025),drugs_generic,Generic drug supply,goods,open,2025-12-24,30,12213492.74,426669,strip,426669,strip,5,1,complete,A-0309,V-0083,11063112.64,2026-03-08,0,0,,0,,competitive
ocds-pgraph-T-0310,T-0310,1,B-038,Ambulance procurement - Guwahati (May 2024),ambulance_vehicle,Ambulance procurement,goods,open,2024-05-30,7,64159087.5,29,unit,29,unit,5,1,complete,A-0310,V-0104,55615602.7,2024-06-21,0,0,,0,,competitive
ocds-pgraph-T-0311,T-0311,1,B-038,Biomedical equipment servicing - Guwahati (Jun 2025),biomedical_service,Biomedical equipment servicing,services,open,2025-06-23,7,7835050.25,4,year,4,year,6,1,complete,A-0311,V-S008,6949183.76,2025-07-17,0,0,,0,,competitive
ocds-pgraph-T-0312,T-0312,1,B-038,Generic drug supply - Guwahati (Dec 2024),drugs_generic,Generic drug supply,goods,open,2024-12-08,21,2286638.29,77764,strip,77764,strip,0,0,complete,A-0312,V-0056,2024194.66,2025-02-07,0,0,,0,,competitive
ocds-pgraph-T-0313,T-0313,1,B-038,Biomedical equipment servicing - Guwahati (Apr 2026),biomedical_service,Biomedical equipment servicing,services,open,2026-04-03,10,1917241.08,1,year,1,year,4,1,complete,A-0313,V-0116,1629901.17,2026-05-03,0,0,,0,,competitive
ocds-pgraph-T-0314,T-0314,1,B-038,Medical consumables supply - Guwahati (Mar 2024),medical_supplies,Medical consumables supply,goods,open,2024-03-13,30,,20991,unit,20991,unit,6,1,complete,A-0314,V-0043,9633715.92,2024-05-13,0,0,,0,,competitive
ocds-pgraph-T-0315,T-0315,1,B-038,Biomedical equipment servicing - Guwahati (Dec 2023),biomedical_service,Biomedical equipment servicing,services,open,2023-12-26,14,6173850.9,4,year,4,year,6,1,complete,A-0315,V-0207,5575285.35,2024-02-08,0,0,,0,,competitive
ocds-pgraph-T-0316,T-0316,1,B-038,Medical consumables supply - Guwahati (Oct 2025),medical_supplies,Medical consumables supply,goods,open,2025-10-31,10,13693782.51,22420,unit,22420,unit,3,1,complete,A-0316,V-0018,13820379.0,2025-11-24,0,0,,0,,competitive
ocds-pgraph-T-0317,T-0317,1,B-038,Biomedical equipment servicing - Guwahati (Nov 2025),biomedical_service,Biomedical equipment servicing,services,open,2025-11-16,14,7833231.21,4,year,4,year,1,1,complete,A-0317,V-S008,7950562.91,2026-01-14,0,0,,0,,competitive
ocds-pgraph-T-0318,T-0318,1,B-038,Biomedical equipment servicing - Guwahati (Jun 2024),biomedical_service,Biomedical equipment servicing,services,open,2024-06-26,14,5150681.32,3,year,3,year,0,0,complete,A-0318,V-0005,4348465.95,2024-08-23,0,0,,0,,competitive
ocds-pgraph-T-0319,T-0319,1,B-038,Medical consumables supply - Guwahati (Jul 2025),medical_supplies,Medical consumables supply,goods,open,2025-07-31,7,22672689.73,38074,unit,38074,unit,6,1,complete,A-0319,V-0067,19543222.07,2025-08-26,0,0,,0,,competitive
ocds-pgraph-T-0320,T-0320,1,B-038,Generic drug supply - Guwahati (May 2026),drugs_generic,Generic drug supply,goods,open,2026-05-04,10,2525651.16,89084,strip,89084,strip,3,1,complete,A-0320,V-0104,2222279.61,2026-06-03,0,0,,0,,competitive
ocds-pgraph-T-0321,T-0321,1,B-038,Biomedical equipment servicing - Guwahati (May 2026),biomedical_service,Biomedical equipment servicing,services,open,2026-05-01,7,6050797.97,3,year,3,year,5,1,complete,A-0321,V-0207,4800444.99,2026-06-04,0,0,,0,,competitive
ocds-pgraph-T-0322,T-0322,1,B-038,Biomedical equipment servicing - Guwahati (May 2023),biomedical_service,Biomedical equipment servicing,services,open,2023-05-15,10,,4,year,4,year,5,1,complete,A-0322,V-S008,5584351.69,2023-06-29,0,0,,0,,competitive
ocds-pgraph-T-0323,T-0323,1,B-038,Medical consumables supply - Guwahati (Feb 2025),medical_supplies,Medical consumables supply,goods,open,2025-02-08,14,15735490.28,28829,unit,28829,unit,6,1,complete,A-0323,V-0018,13752512.02,2025-03-14,0,0,,0,,competitive
ocds-pgraph-T-0324,T-0324,1,B-038,Medical consumables supply - Guwahati (Aug 2025),medical_supplies,Medical consumables supply,goods,open,2025-08-20,14,27738738.81,44333,unit,44333,unit,2,1,complete,A-0324,V-0067,25936396.76,2025-09-14,0,0,,0,,competitive
ocds-pgraph-T-0325,T-0325,1,B-038,Medical consumables supply - Guwahati (Dec 2022),medical_supplies,Medical consumables supply,goods,open,2022-12-12,30,2368427.38,4267,unit,4267,unit,1,1,complete,A-0325,V-0207,2513285.08,2023-02-23,0,0,,0,,competitive
ocds-pgraph-T-0326,T-0326,1,B-038,Biomedical equipment servicing - Guwahati (Sep 2025),biomedical_service,Biomedical equipment servicing,services,open,2025-09-06,21,8400717.81,5,year,5,year,6,1,complete,A-0326,V-S008,7568752.65,2025-11-08,0,0,,0,,competitive
ocds-pgraph-T-0327,T-0327,1,B-038,Medical consumables supply - Guwahati (Jan 2026),medical_supplies,Medical consumables supply,goods,open,2026-01-06,14,30787570.75,53280,unit,53280,unit,4,1,complete,A-0327,V-0067,31048083.78,2026-02-21,0,0,,0,,competitive
